team_id,venture_name,total_revenue,week_revenue,today_revenue,total_units,challenge_baseline,challenge_revenue
VBC101,AKS Perfumes,98598.05,98598.05,4429.05,123,0,98598.05
VBC102,LUMI,1497,1497,598,3,0,1497
VBC103,House of Pravaah,4898,4898,0,4,0,4898
VBC104,Trigo,751,751,500,8,0,751
VBC105,Chakle Bro,7373,7373,1798,47,0,7373
VBC106,Dad Of Bags.,7997,7997,0,22,0,7997
VBC107,Madhosh,60718.26,60718.26,24045,68,0,60718.26
VBC108,The Drunken Mugs,14437.45,14437.45,2897,23,0,14437.45
VBC109,WeKravehealthy,5661,5661,398,27,0,5661
VBC110,NUTflix,0,0,0,0,0,0
VBC111,BizFits,2000,2000,0,3,0,2000
VBC112,Fake society studio,0,0,0,0,0,0
VBC113,Munch&co,0,0,0,0,0,0
VBC114,Tea-riffic,1667,1667,1,6,0,1667
VBC115,ChipMonk,50,50,50,1,0,50
VBC116,Nasha,119,119,0,1,0,119
VBC117,Juzzle,9,9,0,1,0,9
VBC118,Mello,4816,4816,971,44,0,4816
VBC119,NEKT,2398,2398,2398,2,0,2398
VBC120,No Biggie,12074,12074,8099,39,0,12074
VBC121,Kirdaaar,0,0,0,0,0,0
VBC122,MELTYK,5913,5913,3200,30,0,5913
VBC123,HAULTIES,5036,5036,258,40,0,5036
VBC124,Bean & Beyond,12406,9819,398,74,0,12406
VBC125,Ember and Oak,31000,0,0,202,0,31000
VBC126,Choco and co,84968,33714,149,83,0,84968
VBC127,Lantern Candles,7946,4946,0,57,0,7946
VBC128,The Usual,0,0,0,0,0,0
VBC129,Klayzy Ceramics,36074,36074,0,68,0,36074
VBC130,Side Quest,0,0,0,0,0,0
VBC131,Notty Crunch,9782,9782,1847,85,0,9782
VBC132,Mugshot,11957,11957,2440,106,0,11957
VBC133,Crunchd,40680,40680,36110,256,0,40680
VBC134,LINORE,80916,80916,0,27,0,80916
VBC135,Krackle Co,2995,2995,595,30,0,2995
VBC136,KUKI,13834,13834,1396,57,0,13834
VBC137,ZAAREE,3299,3299,0,2,0,3299
VBC138,SAAJ,0,0,0,0,0,0
VBC139,Atmiva,5532.1,5532.1,3094,9,0,5532.1
VBC140,Type your venture name,0,0,0,0,0,0
VBC141,Type your venture name,0,0,0,0,0,0
